Temps, CPU(%), Mémoire(Mo)
1731790044.4706993, 0.00, 32.95
1731790045.4714282, 0.00, 32.95
1731790046.4720252, 0.00, 32.95
1731790047.4726913, 0.00, 32.95
1731790048.4729216, 0.00, 32.95
1731790049.4736145, 0.00, 32.95
1731790050.4739642, 0.00, 32.95
1731790051.4744427, 0.00, 32.95
1731790052.4748037, 0.00, 32.95
1731790053.4755762, 0.00, 33.06
1731790054.476101, 0.00, 33.06
1731790055.476993, 0.00, 33.06
1731790056.477623, 0.00, 33.06
1731790057.4781125, 0.00, 33.43
1731790058.4787881, 0.00, 33.43
1731790059.4790604, 0.00, 33.43
1731790060.4795837, 0.00, 33.43
1731790061.4798543, 0.00, 33.43
1731790062.4805043, 0.00, 33.43
1731790063.4811673, 0.00, 33.43
1731790064.481768, 0.00, 33.43
1731790065.4828966, 0.00, 33.43
1731790066.4834166, 0.00, 33.43
1731790067.4841838, 0.00, 33.43
1731790068.4848597, 0.00, 33.43
1731790069.4853218, 0.00, 33.43
1731790070.485532, 0.00, 33.43
1731790071.4860659, 0.00, 33.43
1731790072.4865046, 0.00, 33.43
1731790073.4871774, 0.00, 33.47
1731790074.487418, 0.00, 33.47
1731790075.4876904, 0.00, 33.47
1731790076.4883895, 0.00, 33.47
1731790077.4886343, 0.00, 33.47
1731790078.489319, 0.00, 33.47
1731790079.4899018, 0.00, 33.47
1731790080.4901967, 0.00, 33.47
1731790081.4907403, 6.20, 33.66
1731790082.4911802, 0.00, 33.66
1731790083.4916053, 0.00, 33.66
1731790084.4920504, 0.00, 33.66
1731790085.4926345, 0.00, 33.66
1731790086.4929252, 0.00, 33.66
1731790087.493495, 0.00, 33.66
1731790088.4937718, 0.00, 33.66
1731790089.494342, 0.00, 33.66
1731790090.4947026, 0.00, 33.66
1731790091.4953332, 0.00, 33.66
1731790092.4956684, 0.00, 33.66
1731790093.4962444, 0.00, 33.66
1731790094.496799, 0.00, 33.66
1731790095.4971397, 0.00, 33.66
1731790096.4976325, 0.00, 33.66
1731790097.4983008, 0.00, 33.66
1731790098.4988477, 0.00, 33.66
1731790099.4995017, 0.00, 33.66
1731790100.4999306, 0.00, 33.66
